Route Name,Route Link,Total Buses,Operator,Bus Type,Departure Time,Boarding Point,Duration,Arrival Time,Dropping Point,Ratings,Fare,Seats Available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 3580,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),12:15,Kukatpally,06h 15m,18:30,Rtc bus stand,3.8,INR 720,38 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 9319,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:00,Central Bus Station (CBS),06h 00m,19:00,Rtc bus stand,4.2,INR 412,33 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 3576,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),13:15,Kukatpally,06h 35m,19:50,Rtc bus stand,3.8,INR 720,34 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 35154,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:40,Kukatpally,07h 20m,21:00,Rtc bus stand,3.7,INR 469,24 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 24291,INDRA(A.C. Seater),14:00,Central Bus Station (CBS),05h 00m,19:00,Rtc bus stand,3.7,INR 528,26 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 9363,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:00,Central Bus Station (CBS),06h 00m,20:00,Rtc bus stand,2.3,INR 412,33 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 3578,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),14:15,Kukatpally,06h 15m,20:30,Rtc bus stand,3.5,INR 720,45 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 94285,INDRA(A.C. Seater),14:25,LB Nagar,04h 35m,19:00,Rtc bus stand,2.9,INR 528,23 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 3722,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:30,Central Bus Station (CBS),05h 35m,20:05,IBRAHIMPATNAM-VJA,3.4,INR 412,33 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 3859,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),14:30,Bhel,06h 55m,21:25,IBRAHIMPATNAM-VJA,3.0,INR 720,49 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 3356,NIGHT RIDER (SEATER CUM SLEEPER),15:45,Kukatpally,07h 00m,22:45,Rtc bus stand,3.7,INR 639,32 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 3546,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),16:00,Miyapur,06h 30m,22:30,IBRAHIMPATNAM-VJA,3.7,INR 720,41 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 3500,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:20,Kukatpally,08h 25m,00:45,Rtc bus stand,3.5,INR 469,23 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 3376,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:45,Central Bus Station (CBS),06h 30m,23:15,Rtc bus stand,4.8,INR 436,33 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 3358,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:45,Bhel,08h 25m,01:10,Rtc bus stand,3.9,INR 469,33 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 2561,INDRA(A.C. Seater),17:15,Central Bus Station (CBS),05h 30m,22:45,Rtc bus stand,3.9,INR 528,38 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 3366,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:15,Bhel,08h 30m,01:45,Rtc bus stand,2.4,INR 469,33 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 2674,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:30,Jeedimetla,07h 50m,01:20,Rtc bus stand,2.5,INR 436,32 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 3360,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),17:45,Bhel,07h 45m,01:30,Rtc bus stand,2.6,INR 720,43 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 2575,NIGHT RIDER (SEATER CUM SLEEPER),18:15,Bhel,07h 00m,01:15,Rtc bus stand,2.9,INR 576,44 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 4916,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",18:45,Bhel,07h 30m,02:15,Rtc bus stand,2.6,INR 469,33 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 2680,VENNELA (A.C. SLEEPER),19:00,Bhel,07h 00m,02:00,Rtc bus stand,2.8,INR 756,21 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 2898,STAR LINER(NON-AC SLEEPER 2+1),19:25,Kukatpally,06h 35m,02:00,Rtc bus stand,3.5,INR 607,15 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 2563,INDRA(A.C. Seater),19:30,Central Bus Station (CBS),05h 55m,01:25,Rtc bus stand,4.3,INR 476,31 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 4898,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:45,Bhel,07h 15m,03:00,Rtc bus stand,3.7,INR 469,28 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 4894,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:45,Bhel,06h 55m,02:40,Rtc bus stand,3.9,INR 469,33 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 2688,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:00,Ecil,06h 45m,02:45,Rtc bus stand,3.9,INR 469,33 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 4880,STAR LINER(NON-AC SLEEPER 2+1),20:00,Bhel,06h 45m,02:45,Rtc bus stand,3.9,INR 607,33 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 3622,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:00,Bhel,08h 00m,04:00,Rtc bus stand,4.7,INR 469,27 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 4972,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:10,Kukatpally,07h 10m,03:20,Rtc bus stand,4.7,INR 469,23 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 3977,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:15,Bhel,08h 00m,04:15,Rtc bus stand,3.6,INR 469,31 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 2876,STAR LINER(NON-AC SLEEPER 2+1),20:15,Bhel,07h 15m,03:30,Rtc bus stand,4.5,INR 607,3 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 2549,NIGHT RIDER (SEATER CUM SLEEPER),20:15,Shamshabad,06h 00m,02:15,Rtc bus stand,4.0,INR 576,38 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 2573,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),20:25,Kukatpally,06h 05m,02:30,Rtc bus stand,3.6,INR 648,28 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 24262,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:30,Uppal,05h 30m,02:00,Rtc bus stand,3.9,INR 469,8 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 3971,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:30,Ecil,07h 15m,03:45,Rtc bus stand,3.8,INR 469,34 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 2678,NIGHT RIDER (SEATER CUM SLEEPER),20:40,Kukatpally,06h 20m,03:00,Rtc bus stand,4.1,INR 576,30 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 2786,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:40,Kukatpally,07h 05m,03:45,Rtc bus stand,4.6,INR 469,28 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 35212,STAR LINER(NON-AC SLEEPER 2+1),20:45,Bhel,07h 00m,03:45,Rtc bus stand,3.8,INR 607,27 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 95703,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:45,Bhel,06h 45m,03:30,IBRAHIMPATNAM-VJA,3.4,INR 452,33 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 3697,STAR LINER(NON-AC SLEEPER 2+1),20:45,Ecil,07h 00m,03:45,Rtc bus stand,4.6,INR 580,12 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 3883,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:50,Bhel,07h 15m,04:05,IBRAHIMPATNAM-VJA,3.8,INR 469,34 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 4795,INDRA(A.C. Seater),20:50,Bhel,07h 10m,04:00,Rtc bus stand,2.4,INR 567,38 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 35064,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:55,Bhel,07h 10m,04:05,IBRAHIMPATNAM-VJA,4.3,INR 469,34 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 3544,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:00,Kukatpally,07h 15m,04:15,Rtc bus stand,4.0,INR 469,31 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 4351,STAR LINER(NON-AC SLEEPER 2+1),21:00,A S Rao Nagar,07h 00m,04:00,Rtc bus stand,4.3,INR 565,28 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 38202,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:00,Jeedimetla,07h 45m,04:45,Rtc bus stand,4.0,INR 444,22 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 35172,STAR LINER(NON-AC SLEEPER 2+1),21:00,Bhel,08h 10m,05:10,Rtc bus stand,4.1,INR 607,27 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 4823,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:00,Bhel,06h 45m,03:45,Rtc bus stand,3.1,INR 469,33 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 4936,STAR LINER(NON-AC SLEEPER 2+1),21:00,Bhel,06h 45m,03:45,Rtc bus stand,2.6,INR 607,33 Seats available
Hyderabad to Vijayawada Bus,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,556 Buses,APSRTC - 37801,INDRA(A.C. Seater),21:00,Kukatpally,06h 45m,03:45,Rtc bus stand,4.1,INR 567,26 Seats available
